seq,T,srtt
33549185,0.058451,0.0380998
10114193,0.03723,0.0341647
18531537,0.035543,0.0339365
19170449,0.035731,0.0344069
38754817,0.03891,0.0375059
42149841,0.0372,0.0319638
31793249,0.040832,0.0394547
628065,0.04075,0.0375498
27773785,0.041035,0.0330145
66364713,0.03765,0.0316239
2416161,0.039275,0.036331
32998713,0.036443,0.0374211
33994065,0.03881,0.0337081
37717657,0.040757,0.0392431
43935257,0.056213,0.0356397
44242385,0.048478,0.0347903
46578273,0.039181,0.0374091
66221065,0.037888,0.0335295
476913,0.041121,0.0442939
42241497,0.037251,0.0323449
52923977,0.037379,0.0302027
67569105,0.035688,0.0271984
28319969,0.038201,0.0366546
3782961,0.036617,0.0321348
34324241,0.037442,0.0343104
39645113,0.059621,0.0365123
41901137,0.05664,0.0396917
45026553,0.03689,0.0319143
28808801,0.038378,0.0295583
47155545,0.034499,0.0304938
66716865,0.03754,0.0318679
3482801,0.049336,0.034364
13715577,0.036162,0.0318081
58064753,0.040592,0.0393185
58842489,0.035173,0.0355161
64253945,0.041604,0.0394009
69445105,0.039915,0.0362391
342913,0.076666,0.0588214
32216689,0.0394,0.0315145
53798193,0.036904,0.0328299
22569225,0.040889,0.0286637
35305121,0.035655,0.0333818
31997465,0.263036,0.0567696
35752145,0.060704,0.0381432
40137697,0.0408,0.0327463
57166953,0.038537,0.0356411
6814577,0.037499,0.0354247
43176817,0.043197,0.0380131
61855881,0.03797,0.0335678
67410449,0.035864,0.033963
67988257,0.064702,0.0359835
68698993,0.035762,0.0322243
8456881,0.039114,0.0357469
19789529,0.038372,0.0334973
20316417,0.054379,0.0379422
45815545,0.039,0.0359011
46777665,0.03803,0.0341641
65707041,0.039737,0.0387688
67200337,0.057173,0.0338317
49603457,0.038428,0.0367066
30474689,0.058939,0.0373145
201537,0.0853,0.0806175
3167097,0.046697,0.0350229
5754369,0.04073,0.0374502
29841137,0.041059,0.0321404
36255985,0.063778,0.038369
47930601,0.057723,0.0352133
9152073,0.057543,0.0352151
23951033,0.041208,0.0341755
34167193,0.035767,0.0304775
50057985,0.038841,0.0345909
56730113,0.038956,0.0366894
61018649,0.039657,0.0379372
1624489,0.040021,0.0354133
16725217,0.038379,0.0336608
